DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
16-Oct-2025,EQ,"3,549.00","3,652.00","3,540.00","3,549.00","3,636.00","3,640.30","3,630.09","3,740.00","2,925.00",1528118,"5,54,72,03,279.40",108363
15-Oct-2025,EQ,"3,532.90","3,561.90","3,511.00","3,537.40","3,543.20","3,549.00","3,542.64","3,740.00","2,925.00",1005045,"3,56,05,11,918.00",62931
14-Oct-2025,EQ,"3,533.00","3,549.40","3,506.50","3,533.60","3,528.00","3,537.40","3,524.68","3,740.00","2,925.00",925998,"3,26,38,44,837.60",73194
13-Oct-2025,EQ,"3,518.00","3,545.00","3,509.50","3,531.90","3,532.90","3,533.60","3,529.62","3,740.00","2,925.00",606122,"2,13,93,82,956.40",50849
10-Oct-2025,EQ,"3,548.90","3,571.70","3,523.30","3,550.60","3,529.00","3,531.90","3,549.47","3,748.00","2,925.00",825274,"2,92,92,82,600.10",60797
09-Oct-2025,EQ,"3,559.80","3,561.70","3,526.40","3,565.60","3,544.00","3,550.60","3,545.87","3,748.00","2,925.00",597739,"2,11,95,05,760.80",73798
08-Oct-2025,EQ,"3,474.00","3,580.00","3,460.00","3,418.20","3,565.00","3,565.60","3,554.91","3,748.00","2,925.00",4531362,"16,10,85,98,088.70",209805
07-Oct-2025,EQ,"3,425.00","3,445.90","3,411.00","3,425.40","3,419.00","3,418.20","3,431.85","3,748.00","2,925.00",996165,"3,41,86,84,038.40",58141
06-Oct-2025,EQ,"3,453.30","3,459.30","3,401.00","3,453.30","3,425.00","3,425.40","3,422.84","3,748.00","2,925.00",1184781,"4,05,53,20,446.50",79862
03-Oct-2025,EQ,"3,379.90","3,459.00","3,378.00","3,408.30","3,450.00","3,453.30","3,418.12","3,863.55","2,925.00",1655328,"5,65,81,03,027.70",77070
01-Oct-2025,EQ,"3,370.00","3,414.90","3,351.00","3,367.00","3,404.80","3,408.30","3,384.57","3,863.55","2,925.00",798754,"2,70,34,35,345.20",77101
30-Sep-2025,EQ,"3,452.00","3,474.50","3,355.00","3,401.20","3,372.90","3,367.00","3,399.11","3,863.55","2,925.00",1733728,"5,89,31,38,448.10",110770
29-Sep-2025,EQ,"3,327.00","3,418.00","3,327.00","3,327.30","3,417.00","3,401.20","3,382.02","3,863.55","2,925.00",1452636,"4,91,28,38,813.80",103274
26-Sep-2025,EQ,"3,387.70","3,402.00","3,303.10","3,378.50","3,333.00","3,327.30","3,335.36","3,867.00","2,925.00",7524068,"25,09,54,67,512.40",87123
25-Sep-2025,EQ,"3,408.00","3,419.90","3,370.00","3,418.30","3,388.70","3,378.50","3,382.41","3,867.00","2,925.00",1139904,"3,85,56,25,215.70",88587
24-Sep-2025,EQ,"3,430.00","3,437.40","3,411.00","3,439.20","3,411.00","3,418.30","3,422.39","3,867.00","2,925.00",690454,"2,36,30,01,895.50",50758
23-Sep-2025,EQ,"3,465.20","3,465.30","3,405.00","3,457.50","3,439.30","3,439.20","3,432.60","3,867.00","2,925.00",1144975,"3,93,02,44,874.20",63052
22-Sep-2025,EQ,"3,458.20","3,477.00","3,440.00","3,467.20","3,455.00","3,457.50","3,456.80","3,867.00","2,925.00",817833,"2,82,70,85,688.60",65974
19-Sep-2025,EQ,"3,504.00","3,511.30","3,460.00","3,511.30","3,470.00","3,467.20","3,469.72","3,867.00","2,925.00",2337255,"8,10,96,23,285.80",93982
18-Sep-2025,EQ,"3,530.00","3,546.00","3,503.40","3,523.00","3,511.50","3,511.30","3,521.66","3,867.00","2,925.00",829442,"2,92,10,15,504.50",61476
17-Sep-2025,EQ,"3,561.90","3,572.70","3,513.20","3,556.80","3,524.60","3,523.00","3,529.86","3,867.00","2,925.00",659866,"2,32,92,36,812.30",43888
16-Sep-2025,EQ,"3,525.00","3,570.30","3,502.00","3,534.10","3,560.00","3,556.80","3,534.51","3,867.00","2,925.00",724742,"2,56,16,11,250.40",55480
15-Sep-2025,EQ,"3,556.00","3,576.50","3,515.00","3,571.90","3,531.90","3,534.10","3,539.83","3,867.00","2,925.00",362285,"1,28,24,27,021.80",40232
12-Sep-2025,EQ,"3,589.90","3,598.20","3,563.90","3,584.20","3,565.50","3,571.90","3,579.92","3,867.00","2,925.00",275049,"98,46,53,378.10",37752
11-Sep-2025,EQ,"3,620.00","3,644.00","3,580.00","3,620.60","3,580.00","3,584.20","3,593.62","3,867.00","2,925.00",495417,"1,78,03,38,136.60",49299
10-Sep-2025,EQ,"3,632.00","3,648.70","3,608.20","3,630.10","3,619.80","3,620.60","3,619.53","3,867.00","2,925.00",408800,"1,47,96,65,847.10",34029
