DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
21-Oct-2025,EQ,"1,440.00","1,460.00","1,432.90","1,444.80","1,455.80","1,455.80","1,453.14","1,877.95","1,135.00",200517,"29,13,79,110.10",10834
20-Oct-2025,EQ,"1,420.00","1,448.00","1,405.10","1,426.60","1,436.00","1,444.80","1,432.91","1,877.95","1,135.00",1058298,"1,51,64,48,674.70",28074
17-Oct-2025,EQ,"1,410.00","1,437.00","1,410.00","1,415.60","1,428.00","1,426.60","1,427.30","1,902.00","1,135.00",1075540,"1,53,51,19,817.70",27861
16-Oct-2025,EQ,"1,410.00","1,423.20","1,405.10","1,412.10","1,416.10","1,415.60","1,415.94","1,902.00","1,135.00",910378,"1,28,90,44,918.20",26675
15-Oct-2025,EQ,"1,382.00","1,416.00","1,375.00","1,391.70","1,410.00","1,412.10","1,402.54","1,902.00","1,135.00",1045348,"1,46,61,43,415.10",32369
14-Oct-2025,EQ,"1,378.50","1,399.70","1,378.50","1,378.50","1,388.80","1,391.70","1,387.43","1,902.00","1,135.00",1087951,"1,50,94,60,540.30",34967
13-Oct-2025,EQ,"1,410.00","1,411.50","1,365.70","1,417.30","1,381.10","1,378.50","1,379.89","1,902.00","1,135.00",1430691,"1,97,41,99,215.00",52466
10-Oct-2025,EQ,"1,399.00","1,437.60","1,390.30","1,382.00","1,417.00","1,417.30","1,419.21","1,902.00","1,135.00",2611807,"3,70,67,05,881.50",95509
09-Oct-2025,EQ,"1,367.00","1,395.00","1,366.50","1,367.30","1,378.00","1,382.00","1,383.07","1,902.00","1,135.00",1000102,"1,38,32,10,591.30",55728
08-Oct-2025,EQ,"1,367.10","1,377.00","1,341.40","1,372.20","1,373.30","1,367.30","1,363.64","1,902.00","1,135.00",2610499,"3,55,97,92,401.90",43139
07-Oct-2025,EQ,"1,360.00","1,377.40","1,356.10","1,366.70","1,368.00","1,372.20","1,370.25","1,902.00","1,135.00",1282213,"1,75,69,48,015.40",47659
06-Oct-2025,EQ,"1,355.00","1,376.00","1,332.90","1,360.40","1,366.20","1,366.70","1,357.33","1,902.00","1,135.00",1048625,"1,42,33,33,058.40",56584
03-Oct-2025,EQ,"1,350.00","1,366.10","1,346.10","1,353.50","1,360.00","1,360.40","1,355.40","1,902.00","1,135.00",873058,"1,18,33,43,256.90",24189
